id,wta_car,wta_elec,wta_green,ifpollution,living_area_ln,age_ln,is_bachelor,location,female,married,income_level,youth,older_adults,partymember,province,weekday,ifsunny,caruse,conditioner1month,mainuseelec,heard_about_global_warming,know_about_low_carbon,know_about_carbon_neutrality,know_about_carbon_policy,publictrans,conditionernumber,energy_consume2020,weights,max_wta,y_car,y_elec,y_green
2199,1,1,1,0,4.44265125649032,3.52636052461616,0,county seat,0,1,4,0,0,0,Gansu,Thursday,1,1,0,1,yes and agree,never,never,never,0,0,2118,1.06707173730585,1,0,0,0
1169,6,6,7,0,4.44265125649032,3.49650756146648,0,city,1,1,4,1,0,0,Guizhou,Wednesday,0,0,0,1,no,heard but do not know,never,never,18,0,1760,0.29,7,0,0,1
800,7,7,5,0,4.35670882668959,3.76120011569356,0,county seat,1,1,4,1,1,0,Beijing,Sunday,1,1,4,1,yes and agree,never,never,heard but do not know,4,1,1307,0.565605561669616,7,1,1,0
926,1,7,1,0,4.84418708645859,3.66356164612965,0,county seat,0,1,4,1,0,0,Beijing,Sunday,1,0,3,1,no,heard but do not know,never,never,2,1,6514,0.29,7,0,1,0
3068,6,6,7,1,5.56068163101553,3.55534806148941,1,rural,0,0,5,0,0,0,Guangxi,Wednesday,1,1,3,1,no,heard but do not know,heard but do not know,familiar,0,1,1800,0.29,7,0,0,1
2831,2,1,1,0,4.43081679884331,3.40119738166216,1,county seat,1,1,4,1,0,0,Gansu,Friday,1,1,0,1,yes and agree,heard but do not know,never,never,12,0,1948,0.373432195785504,2,1,0,0
1918,4,2,2,0,3.86283276123737,4.34380542185368,0,city,1,0,5,0,1,0,Jilin,Wednesday,1,1,0,1,no,never,never,never,2,0,1183,1.40250353920358,4,1,0,0
1091,4,4,4,0,4.0943445622221,3.55534806148941,0,county seat,1,1,3,1,0,0,Beijing,Wednesday,1,1,2,1,yes and agree,never,heard but do not know,heard but do not know,2,1,2182,0.833373707099913,4,1,1,1
2415,1,1,1,0,4.86753445045558,3.63758615972639,0,county seat,1,1,1,1,0,0,Henan,Sunday,1,1,0,1,yes but disagree,heard but do not know,never,never,6,0,3000,0.719284534475195,1,0,0,0
3184,2,1,2,1,4.4188406077966,3.49650756146648,1,county seat,0,0,5,0,1,0,Guangdong,Wednesday,1,0,6,1,yes and agree,heard and know,heard but do not know,never,12,1,6355,0.389552227928835,2,1,0,1
2813,7,7,7,0,4.49980967033027,3.17805383034795,1,city,1,0,4,0,0,1,Guizhou,Friday,0,1,0,1,yes and agree,heard but do not know,heard but do not know,never,36,0,5000,0.490035858521876,7,1,1,1
810,7,7,7,0,4.27666611901606,4.00733318523247,0,city,1,1,4,0,1,0,Hebei,Sunday,1,0,3,1,yes and agree,heard and know,heard and know,heard and know,2,1,1320,0.802621243321656,7,1,1,1
2262,1,1,1,0,4.74493212836325,3.52636052461616,0,county seat,0,1,4,1,0,0,Guizhou,Friday,0,1,0,1,yes and agree,heard but do not know,heard but do not know,never,16,0,2000,0.372673552734844,1,0,0,0
1110,2,7,7,1,4.86753445045558,3.46573590279973,1,city,1,1,4,0,0,0,Shanxi,Wednesday,1,0,1,1,yes and agree,heard but do not know,heard but do not know,heard but do not know,0,1,4200,0.29,7,0,1,1
2421,4,4,4,0,3.87120101090789,3.63758615972639,0,county seat,1,1,3,1,0,0,Gansu,Sunday,1,1,0,1,no,never,never,never,2,0,3115,1.90058965173231,4,1,1,1
1318,4,1,2,0,4.70048036579242,3.58351893845611,1,city,0,1,5,1,0,1,Guizhou,Friday,0,0,0,1,yes and agree,heard and know,heard but do not know,never,10,0,3080,0.29,4,1,0,0
2555,7,3,3,0,4.38202663467388,3.49650756146648,0,city,0,1,4,1,1,0,Guangxi,Tuesday,0,1,0,1,yes and agree,heard but do not know,heard but do not know,heard but do not know,0,0,1798,0.389552227928835,7,1,0,0
3428,7,7,7,0,4.60517018598809,3.43398720448515,1,city,1,0,4,1,0,0,Guangdong,Saturday,0,1,1,1,yes and agree,heard but do not know,heard but do not know,heard but do not know,2,1,3600,0.357396571614206,7,1,1,1
2389,6,6,6,0,3.80666248977032,3.68887945411394,0,rural,1,1,4,1,0,0,Guangdong,Sunday,0,0,7,0,yes but disagree,heard but do not know,heard but do not know,heard and know,0,1,1200,1.58010954339234,6,1,1,1
2519,1,1,1,0,4.65396035015752,4.23410650459726,0,county seat,0,1,1,1,1,0,Gansu,Tuesday,1,1,0,0,no,never,never,never,0,0,2310,5.37427233002338,1,0,0,0
2349,6,6,6,0,4.70048036579242,3.46573590279973,0,rural,0,1,5,1,0,0,Guangdong,Saturday,0,0,7,1,yes but disagree,never,never,heard but do not know,0,1,2535,2.94280958926656,6,1,1,1
923,2,1,1,0,4.55387689160054,3.04452243772342,0,rural,0,0,2,0,0,0,Shanxi,Sunday,1,0,0,1,yes and agree,heard but do not know,never,never,0,0,1400,1.91444351623793,2,1,0,0
2852,1,1,3,0,4.38202663467388,3.63758615972639,0,county seat,1,1,3,0,0,0,Gansu,Friday,1,1,1,1,yes and agree,never,never,never,15,1,1786,0.719284534475195,3,0,0,1
119,7,2,1,0,4.56434819146784,3.29583686600433,1,city,1,1,3,0,0,0,Beijing,Saturday,1,0,3,1,no,never,never,never,11,1,960,0.427046595145418,7,1,0,0
989,1,1,1,0,4.65396035015752,4.06044301054642,0,rural,0,1,2,0,0,0,Beijing,Monday,1,1,4,0,no,never,never,never,0,1,2420,0.778438381622986,1,0,0,0
1209,4,4,3,0,4.31748811353631,3.66356164612965,0,city,1,0,3,1,0,0,Hebei,Thursday,1,1,0,1,yes and agree,heard but do not know,never,never,6,0,1857,0.29,4,1,1,0
1911,7,5,1,1,5.12396397940326,3.46573590279973,1,city,0,0,3,0,0,0,Henan,Wednesday,1,1,7,1,yes and agree,heard but do not know,heard but do not know,heard but do not know,10,1,2640,0.407362342670444,7,1,0,0
1516,4,3,2,0,4.21950770517611,3.36729582998647,0,rural,1,1,3,1,0,0,Jilin,Saturday,1,1,0,1,no,never,never,never,2,0,2000,2.79916022173799,4,1,0,0
1339,2,4,4,0,4.0943445622221,3.95124371858143,1,city,1,0,4,0,0,0,Beijing,Friday,1,1,4,1,yes and agree,heard but do not know,heard and know,heard but do not know,2,1,1320,0.29,4,0,1,1
2202,5,4,4,0,4.70048036579242,3.68887945411394,0,city,0,1,6,1,0,0,Guangdong,Thursday,0,0,5,1,yes and agree,heard but do not know,never,never,0,1,3328,0.29,5,1,0,0
2489,7,7,7,0,4.81218435537242,3.71357206670431,1,county seat,0,1,4,1,0,0,Gansu,Monday,1,0,0,1,yes and agree,heard and know,never,never,0,0,1517,0.29,7,1,1,1
1264,2,2,2,0,4.60517018598809,3.95124371858143,0,rural,0,1,4,0,1,0,Beijing,Thursday,1,1,3,1,yes and agree,heard but do not know,never,heard but do not know,0,1,2400,1.04906162482667,2,1,1,1
2205,7,7,7,0,3.91202300542815,3.76120011569356,0,city,1,1,3,1,0,0,Shanxi,Thursday,1,0,1,1,yes and agree,heard and know,heard but do not know,heard but do not know,10,1,2600,0.565605561669616,7,1,1,1
2801,7,7,7,0,4.49980967033027,3.8286413964891,0,county seat,0,1,6,1,0,0,Guangxi,Friday,1,0,2,1,yes but disagree,never,never,never,1,1,5000,1.54237402683485,7,1,1,1
1656,7,7,4,0,5.19295685089021,3.13549421592915,1,rural,1,0,3,1,0,0,Guizhou,Sunday,0,0,0,1,yes but disagree,heard but do not know,never,never,0,0,875,0.477141595741477,7,1,1,0
